"Municipio","Ponto","Ambiente","Data","Ano","Especie","Estagio","Sexo","Lat","Long"
"Porto Velho","PU3","Periurbano","01/07/2017",2017,"Amblyomma scalpturatum","Ninfa","Nao definido",-8.695680556,-63.86185833
"Porto Velho","PU3","Periurbano","01/07/2017",2017,"Amblyomma scalpturatum","Ninfa","Nao definido",-8.695680556,-63.86185833
"Porto Velho","PU1","Periurbano","26/07/2017",2017,"Amblyomma sp","Ninfa","Nao definido",-8.812702778,-63.865025
"Porto Velho","PU3","Periurbano","15/09/2017",2017,"Amblyomma scalpturatum","Ninfa","Nao definido",-8.695680556,-63.86185833
"Porto Velho","PU3","Periurbano","15/09/2017",2017,"Amblyomma scalpturatum","Ninfa","Nao definido",-8.695680556,-63.86185833
"Porto Velho","PU3","Periurbano","15/09/2017",2017,"Amblyomma scalpturatum","Ninfa","Nao definido",-8.695680556,-63.86185833
"Porto Velho","PU3","Periurbano","15/09/2017",2017,"Amblyomma scalpturatum","Ninfa","Nao definido",-8.695680556,-63.86185833
"Porto Velho","PU3","Periurbano","01/09/2017",2017,"Amblyomma naponense","Adulto","Macho",-8.695680556,-63.86185833
"Porto Velho","PU3","Periurbano","15/09/2017",2017,"Amblyomma scalpturatum","Adulto","Macho",-8.695680556,-63.86185833
"Porto Velho","PU3","Periurbano","15/09/2017",2017,"Amblyomma scalpturatum","Adulto","Femea",-8.695680556,-63.86185833
"Porto Velho","PU3","Periurbano","15/09/2017",2017,"Amblyomma scalpturatum","Adulto","Femea",-8.695680556,-63.86185833
"Porto Velho","PU3","Periurbano","15/09/2017",2017,"Amblyomma naponense","Ninfa","Nao definido",-8.695680556,-63.86185833
"Porto Velho","PU5","Periurbano","19/09/2017",2017,"Amblyomma scalpturatum","Adulto","Macho",-8.812102778,-63.90623611
"Porto Velho","PU5","Periurbano","19/09/2017",2017,"Amblyomma scalpturatum","Adulto","Macho",-8.812102778,-63.90623611
"Porto Velho","PU5","Periurbano","19/09/2017",2017,"Amblyomma scalpturatum","Adulto","Femea",-8.812102778,-63.90623611
"Porto Velho","PU4","Periurbano","21/09/2017",2017,"Amblyomma coelebs","Ninfa","Nao definido",-8.763805556,-63.79783333
"Porto Velho","PU5","Periurbano","01/10/2017",2017,"Amblyomma naponense","Ninfa","Nao definido",-8.812102778,-63.90623611
"Porto Velho","PU3","Periurbano","03/10/2017",2017,"Amblyomma scalpturatum","Ninfa","Nao definido",-8.695680556,-63.86185833
"Porto Velho","PU3","Periurbano","03/10/2017",2017,"Amblyomma scalpturatum","Ninfa","Nao definido",-8.695680556,-63.86185833
"Porto Velho","PU3","Periurbano","03/10/2017",2017,"Amblyomma scalpturatum","Ninfa","Nao definido",-8.695680556,-63.86185833
