"datatype","plottype","site","method","order","x","y","y.lwr","y.upr"
"abundance",2,"Peri_urban","interpolated",0,1,0.408,0.333,0.484
"abundance",2,"Peri_urban","interpolated",0,9,0.856,0.82,0.893
"abundance",2,"Peri_urban","interpolated",0,17,0.905,0.879,0.932
"abundance",2,"Peri_urban","interpolated",0,25,0.928,0.906,0.949
"abundance",2,"Peri_urban","interpolated",0,33,0.942,0.924,0.96
"abundance",2,"Peri_urban","interpolated",0,41,0.952,0.937,0.968
"abundance",2,"Peri_urban","interpolated",0,50,0.961,0.947,0.974
"abundance",2,"Peri_urban","interpolated",0,58,0.967,0.954,0.979
"abundance",2,"Peri_urban","interpolated",0,66,0.971,0.959,0.983
"abundance",2,"Peri_urban","interpolated",0,74,0.975,0.964,0.987
"abundance",2,"Peri_urban","interpolated",0,82,0.979,0.967,0.99
"abundance",2,"Peri_urban","interpolated",0,90,0.982,0.97,0.993
"abundance",2,"Peri_urban","interpolated",0,99,0.984,0.973,0.995
"abundance",2,"Peri_urban","interpolated",0,107,0.986,0.976,0.997
"abundance",2,"Peri_urban","interpolated",0,115,0.988,0.978,0.999
"abundance",2,"Peri_urban","interpolated",0,123,0.99,0.979,1.001
"abundance",2,"Peri_urban","interpolated",0,131,0.991,0.981,1.002
"abundance",2,"Peri_urban","interpolated",0,139,0.992,0.981,1.003
"abundance",2,"Peri_urban","interpolated",0,148,0.993,0.982,1.005
"abundance",2,"Peri_urban","observed",0,149,0.993,0.982,1.005
"abundance",2,"Peri_urban","extrapolated",0,150,0.993,0.982,1.005
"abundance",2,"Peri_urban","extrapolated",0,157,0.994,0.983,1.005
"abundance",2,"Peri_urban","extrapolated",0,165,0.995,0.984,1.005
"abundance",2,"Peri_urban","extrapolated",0,173,0.995,0.985,1.005
"abundance",2,"Peri_urban","extrapolated",0,181,0.996,0.986,1.005
"abundance",2,"Peri_urban","extrapolated",0,188,0.996,0.987,1.005
"abundance",2,"Peri_urban","extrapolated",0,196,0.996,0.988,1.005
"abundance",2,"Peri_urban","extrapolated",0,204,0.997,0.989,1.005
"abundance",2,"Peri_urban","extrapolated",0,212,0.997,0.99,1.005
"abundance",2,"Peri_urban","extrapolated",0,220,0.997,0.99,1.005
"abundance",2,"Peri_urban","extrapolated",0,227,0.998,0.991,1.005
"abundance",2,"Peri_urban","extrapolated",0,235,0.998,0.991,1.004
"abundance",2,"Peri_urban","extrapolated",0,243,0.998,0.992,1.004
"abundance",2,"Peri_urban","extrapolated",0,251,0.998,0.992,1.004
"abundance",2,"Peri_urban","extrapolated",0,259,0.998,0.993,1.004
"abundance",2,"Peri_urban","extrapolated",0,266,0.999,0.993,1.004
"abundance",2,"Peri_urban","extrapolated",0,274,0.999,0.994,1.004
"abundance",2,"Peri_urban","extrapolated",0,282,0.999,0.994,1.004
"abundance",2,"Peri_urban","extrapolated",0,290,0.999,0.994,1.004
"abundance",2,"Peri_urban","extrapolated",0,298,0.999,0.995,1.004
"abundance",2,"Rural","interpolated",0,1,0.241,0.233,0.25
"abundance",2,"Rural","interpolated",0,43,0.971,0.966,0.977
"abundance",2,"Rural","interpolated",0,85,0.98,0.977,0.984
"abundance",2,"Rural","interpolated",0,127,0.986,0.984,0.989
"abundance",2,"Rural","interpolated",0,169,0.991,0.988,0.993
"abundance",2,"Rural","interpolated",0,211,0.993,0.991,0.995
"abundance",2,"Rural","interpolated",0,253,0.995,0.993,0.997
"abundance",2,"Rural","interpolated",0,295,0.996,0.995,0.998
"abundance",2,"Rural","interpolated",0,337,0.997,0.996,0.999
"abundance",2,"Rural","interpolated",0,380,0.998,0.997,0.999
"abundance",2,"Rural","interpolated",0,422,0.998,0.997,1
"abundance",2,"Rural","interpolated",0,464,0.999,0.997,1
"abundance",2,"Rural","interpolated",0,506,0.999,0.998,1
"abundance",2,"Rural","interpolated",0,548,0.999,0.998,1
"abundance",2,"Rural","interpolated",0,590,0.999,0.998,1.001
"abundance",2,"Rural","interpolated",0,632,1,0.998,1.001
"abundance",2,"Rural","interpolated",0,674,1,0.998,1.001
"abundance",2,"Rural","interpolated",0,716,1,0.999,1.001
"abundance",2,"Rural","interpolated",0,759,1,0.999,1.001
"abundance",2,"Rural","observed",0,760,1,0.999,1.001
"abundance",2,"Rural","extrapolated",0,761,1,0.999,1.001
"abundance",2,"Rural","extrapolated",0,800,1,0.999,1.001
"abundance",2,"Rural","extrapolated",0,840,1,0.999,1.001
"abundance",2,"Rural","extrapolated",0,880,1,0.999,1.001
"abundance",2,"Rural","extrapolated",0,920,1,0.999,1.001
"abundance",2,"Rural","extrapolated",0,960,1,0.999,1.001
"abundance",2,"Rural","extrapolated",0,1000,1,0.999,1.001
"abundance",2,"Rural","extrapolated",0,1040,1,1,1
"abundance",2,"Rural","extrapolated",0,1080,1,1,1
"abundance",2,"Rural","extrapolated",0,1120,1,1,1
"abundance",2,"Rural","extrapolated",0,1160,1,1,1
"abundance",2,"Rural","extrapolated",0,1200,1,1,1
"abundance",2,"Rural","extrapolated",0,1240,1,1,1
"abundance",2,"Rural","extrapolated",0,1280,1,1,1
"abundance",2,"Rural","extrapolated",0,1320,1,1,1
"abundance",2,"Rural","extrapolated",0,1360,1,1,1
"abundance",2,"Rural","extrapolated",0,1400,1,1,1
"abundance",2,"Rural","extrapolated",0,1440,1,1,1
"abundance",2,"Rural","extrapolated",0,1480,1,1,1
"abundance",2,"Rural","extrapolated",0,1520,1,1,1
